profile_key,profile_template,argument_1,argument_2,argument_3,argument_4
hardworker,{{Name}} is always studying and working diligently to be successful in {{his}} classes because {{he}} wants to be the first in {{his}} family to go to college.,Understanding how to use computing is an important skill for leaders in most every field.,There are real cultural and structural barriers that might make it hard to pursue computer science at the college level.  Getting started now in high school will be easier.,"Computing is part of designing new products, not just technical ones.  This isn't just gadgets and apps either, there are even wearable computers now.","Computer science jobs are high-paying and high status, and can empower you to push back against current forms of oppression. "
jokester,"{{Name}} can always get the class cackling with {{his}} running commentary, but especially when {{he}} starts doing impersonations. Somehow {{he}}'s able to do it in a way that everyone can laugh at it.","You'll have so many career opportunities - high income, job flexibility, lots of options.",There are real cultural and structural barriers that might make it hard to pursue computer science at the college level.  Getting started now in high school will be easier.,"Computing is part of designing new products, not just technical ones.  This isn't just gadgets and apps either, there are even wearable computers now.",Learning CS can help you connect or build global communities that share your interests and passions.
musician,"{{Name}} isn't sure what {{he}} wants to do after high school yet, but right now {{he}}'s really into working on {{his}} own music.",Understanding how to use computing is an important skill for leaders in most every field.,There are real cultural and structural barriers that might make it hard to pursue computer science at the college level.  Getting started now in high school will be easier.,"Computing is part of designing new products, not just technical ones.  This isn't just gadgets and apps either, there are even wearable computers now.","Computer science jobs are high-paying and high status, and can empower you to push back against current forms of oppression. "
journalist,{{Name}} hopes to apply for a journalism internship next summer and has been working hard at improving {{his}} writing all semester.,"It looks really good on your resume to take a computer science class, because it tells employers that you’re knowledgeable about a topic that’s really important. ","Computer science creates so many new ways to express your creativity, whether it's generating images or videos,  creating interactive stories, or making new kinds of media altogether.",Computing is everywhere. Learning about computer science will help you understand the world around you.,"The world needs active and informed citizens of the world, and computer science is now necessary knowledge in order to actively participate in a democracy. "
charismatic,"{{Name}} is incredibly good at reading people, connecting with adults and being persistent in working to convince them. {{He}} can really turn it on and put in some amazing work when {{he}} wants to.","You'll have so many career opportunities - high income, job flexibility, lots of options.","Computer science creates so many new ways to express your creativity, whether it's generating images or videos,  creating interactive stories, or making new kinds of media altogether.",Learning CS can help you connect or build global communities that share your interests and passions.,"The world needs active and informed citizens of the world, and computer science is now necessary knowledge in order to actively participate in a democracy. "
maker,{{Name}} led a team of ten people through building a catapult for a project in shop class.,Understanding how to use computing is an important skill for leaders in most every field.,"Computer science is used in every field. No matter what you plan to do when you finish school, knowing something about computer science will help you be better at your job.",People in the arts and architecture use design software all the time.,Computing is everywhere. Learning about computer science will help you understand the world around you.
trendsetter,"{{Name}} always makes sure {{he}}'s looking {{his}} best when {{he}} comes to school, and all {{his}} friends look to {{him}} for help with what the latest trends are.",Understanding how to use computing is an important skill for leaders in most every field.,"Computing is part of designing new products, not just technical ones.  This isn't just gadgets and apps either, there are even wearable computers now.",Learning CS can help you connect or build global communities that share your interests and passions.,"The world needs active and informed citizens of the world, and computer science is now necessary knowledge in order to actively participate in a democracy. "
teammate,"{{Name}} is a great teammate on projects, always in the background helping other people out and moving the project forward.",Understanding how to use computing is an important skill for leaders in most every field.,"Computer science is used in every field. No matter what you plan to do when you finish school, knowing something about computer science will help you be better at your job.",There are real cultural and structural barriers that might make it hard to pursue computer science at the college level.  Getting started now in high school will be easier.,Computing is everywhere. Learning about computer science will help you understand the world around you.
captain,"{{Name}} is excited about fall sports starting, and spending more time with {{his}} teammates. {{He}}'s a natural leader on the team and helps make everyone better.",Understanding how to use computing is an important skill for leaders in most every field.,There are real cultural and structural barriers that might make it hard to pursue computer science at the college level.  Getting started now in high school will be easier.,People in the arts and architecture use design software all the time.,"Computer science jobs are high-paying and high status, and can empower you to push back against current forms of oppression. "
striver,"{{Name}} rearranged {{his}} course schedule this year to have a chance to take AP courses in {{his}} senior year, and has been working hard to show teachers {{he}}'ll be able to do the work.","It looks really good on your resume to take a computer science class, because it tells employers that you’re knowledgeable about a topic that’s really important. ",You can take AP computer science classes and get college credit before even going to college.  It'll save money on tuition when you're in college as well.,Computing is everywhere. Learning about computer science will help you understand the world around you.,"Computer science jobs are high-paying and high status, and can empower you to push back against current forms of oppression. "
hiker,"{{Name}} spent the entire summer camping and hiking through various terrains. {{He}} became particularly fond of beaches and returned as an expert on tidal pools, crabs, and sand dollars.","You'll have so many career opportunities - high income, job flexibility, lots of options.",People in the arts and architecture use design software all the time.,Learning CS can help you connect or build global communities that share your interests and passions.,Computing is everywhere. Learning about computer science will help you understand the world around you.
literature,"{{Name}} is at the top of {{his}} class in math, but is much more interested in literature, especially if it's historical fiction.",You can take AP computer science classes and get college credit before even going to college.  It'll save money on tuition when you're in college as well.,"Computer science creates so many new ways to express your creativity, whether it's generating images or videos,  creating interactive stories, or making new kinds of media altogether.","The world needs active and informed citizens of the world, and computer science is now necessary knowledge in order to actively participate in a democracy. ","Computer science jobs are high-paying and high status, and can empower you to push back against current forms of oppression. "
caregiver,"{{Name}} takes care of {{his}} younger brother every day after school, and is always helping him with his schoolwork. {{He}} is really proud of his progress this semester in ELA in particular.","You'll have so many career opportunities - high income, job flexibility, lots of options.",You can take AP computer science classes and get college credit before even going to college.  It'll save money on tuition when you're in college as well.,There are real cultural and structural barriers that might make it hard to pursue computer science at the college level.  Getting started now in high school will be easier.,"Computer science jobs are high-paying and high status, and can empower you to push back against current forms of oppression. "
